,index,post_class,prob
22051,212,440,0.1
22091,707,440,0.1
22288,104,459,0.1
22347,623,459,0.1
22404,910,459,0.1
22466,244,459,0.1
22498,68,459,0.1
22508,32,459,0.1
22511,455,459,0.1
22565,65,459,0.1
22598,490,459,0.1
22713,141,459,0.1
22750,153,459,0.1
22833,379,867,0.1
22923,477,867,0.1
23151,414,867,0.1
23367,917,867,0.1
23464,155,867,0.1
23875,722,258,0.1
23932,697,258,0.1
23969,75,258,0.1
24004,112,258,0.1
24036,338,258,0.1
24085,839,258,1.0
24235,705,258,0.1
24237,897,258,0.1
24592,47,650,0.1
24601,782,650,0.1
24675,400,650,0.1
24770,353,650,1.0
24922,322,650,0.1
24951,779,650,0.1
25290,414,834,0.1
25347,838,834,0.1
25485,806,834,0.1
25539,362,834,0.1
25573,694,834,0.1
25581,195,834,0.1
25595,610,834,0.1
25612,169,834,0.1
25666,243,834,0.1
25696,260,4,0.1
26039,224,4,0.1
26067,348,4,0.1
26127,59,4,0.1
26349,754,4,0.1
26364,226,4,0.1
26434,605,246,0.1
26695,367,246,0.1
26699,584,246,0.1
26741,375,246,0.1
26759,532,246,0.1
26832,505,246,0.1
26899,824,246,0.1
27087,705,246,0.1
27198,609,78,0.1
27320,333,78,0.1
27552,438,78,0.1
27568,894,78,1.0
27591,558,78,0.1
27625,803,78,0.1
27635,285,78,0.1
27655,890,78,0.1
27689,771,78,0.1
27696,863,78,0.1
27721,108,78,0.1
27750,181,78,0.1
27790,226,78,0.1
27984,63,21,0.1
28034,837,21,0.1
28074,713,21,0.1
28121,367,21,0.1
28149,871,21,0.1
28280,34,21,1.0
28341,808,21,1.0
28343,776,21,0.1
28444,154,21,1.0
28446,145,21,0.1
28492,853,21,0.1
28504,693,21,0.1
28899,615,31,0.1
28913,764,31,0.1
29184,626,31,0.1
29540,763,718,0.1
29587,484,718,0.1
29593,375,718,0.1
29606,50,718,0.1
29674,126,718,0.1
29821,95,718,1.0
29892,635,718,0.1
30113,389,561,0.1
30286,180,561,0.1
30322,599,561,0.1
30350,616,561,0.1
30365,538,561,0.1
